term,valence
aaaah,0.52
abacus,0.51
abalone,0.5
abba,0.562
abbey,0.58
abbreviate,0.531
abide,0.635
abiding,0.796
ability,0.875
able,0.786
aboard,0.698
abode,0.62
abound,0.704
abovementioned,0.541
abracadabra,0.673
abreast,0.635
abroad,0.677
absolute,0.526
absolution,0.715
absolve,0.684
absorbent,0.552
absorption,0.609
abundance,0.812
abundant,0.958
abutment,0.5
academic,0.781
academy,0.704
accede,0.698
accelerant,0.643
accelerate,0.615
accelerated,0.61
acceleration,0.704
accelerator,0.593
accent,0.598
accentuate,0.673
accept,0.847
acceptable,0.812
acceptance,0.833
acceptances,0.847
access,0.714
accessible,0.796
accession,0.612
accessory,0.562
acclaim,0.562
accolade,0.688
accommodate,0.844
accommodation,0.817
accompaniment,0.74
accompany,0.833
accompanying,0.787
accomplish,0.929
accomplished,0.87
accomplishment,0.917
accord,0.898
accordance,0.659
accordion,0.604
account,0.531
accountability,0.755
accountable,0.709
accountant,0.625
accounting,0.552
accounts,0.592
accredited,0.669
accrue,0.52
accumulate,0.573
accuracy,0.604
accurate,0.743
accustomed,0.542
ace,0.643
achieve,0.816
achieved,0.896
achievement,0.896
acknowledge,0.786
acknowledged,0.714
acknowledgement,0.819
acknowledgment,0.796
acoustic,0.542
acoustics,0.611
acquaint,0.646
acquaintance,0.656
acquainted,0.906
acquiescence,0.542
acquire,0.833
acquiring,0.735
acquisition,0.698
acquisitions,0.773
acquit,0.583
acquittal,0.76
acre,0.583
acreage,0.741
acres,0.51
acrobat,0.708
acrylic,0.582
act,0.656
acting,0.698
action,0.76
action figure,0.615
actionable,0.673
activate,0.764
activation,0.781
active,0.847
activist,0.531
activity,0.701
actor,0.653
actress,0.633
actual,0.729
actuality,0.75
actuary,0.51
acumen,0.564
acupuncture,0.531
ad,0.521
adage,0.517
adapt,0.74
adaptable,0.735
adaptation,0.663
add,0.728
added,0.562
addition,0.562
additional,0.673
additive,0.561
address,0.65
addressee,0.622
addresses,0.51
adept,0.594
adequacy,0.615
adequate,0.854
adhere,0.633
adherence,0.76
adherent,0.561
adhering,0.612
adhesion,0.521
adhesive,0.604
adjacent,0.645
adjective,0.57
adjoining,0.52
adjudicate,0.559
adjudication,0.551
adjust,0.647
adjuster,0.51
adjustment,0.59
adjuvant,0.51
admin,0.688
administer,0.635
administration,0.625
administrative,0.542
administrator,0.538
admirable,0.929
admiral,0.844
admiralty,0.594
admiration,0.969
admire,0.867
admired,0.917
admirer,0.796
admiring,0.867
admissibility,0.802
admissible,0.78
admission,0.802
admit,0.538
admittance,0.69
admitted,0.72
admitting,0.62
ado,0.52
adobe,0.5
adolescent,0.781
adopt,0.694
adoption,0.625
adoptive,0.531
adorable,0.969
adoration,0.885
adore,0.854
adoring,0.885
adorn,0.91
adornment,0.918
adrenalin,0.865
adrenaline,0.765
adult,0.815
adulthood,0.541
advance,0.673
advanced,0.844
advancement,0.776
advancing,0.929
advantage,0.917
advantageous,0.837
advent,0.665
adventure,0.917
adventurer,0.781
adventures,0.812
adventurous,0.969
advertise,0.5
advertisement,0.6
advertising,0.622
adverts,0.551
advice,0.698
advisable,0.867
advise,0.76
advised,0.823
advisement,0.698
adviser,0.745
advisor,0.646
advisory,0.656
advocacy,0.5
advocate,0.551
aeration,0.55
aerial,0.615
aerobics,0.708
aerodrome,0.541
aerodynamic,0.561
aerodynamics,0.59
aeronautics,0.551
aeroplane,0.714
aerospace,0.643
aesthetic,0.708
aesthetics,0.847
affable,0.704
affair,0.52
affection,0.898
affectionate,0.949
affections,0.76
affiliated,0.673
affiliation,0.615
affinity,0.8
affirm,0.745
affirmation,0.75
affirmative,0.854
affirmatively,0.908
affluence,0.663
affluent,0.756
afford,0.571
affordable,0.84
afield,0.594
afloat,0.602
afore,0.5
aforesaid,0.531
afresh,0.643
afterlife,0.571
afternoon,0.533
aga,0.542
agape,0.612
agate,0.54
age,0.561
agenda,0.531
aggregate,0.73
aggregation,0.583
agile,0.8
agility,0.72
aglow,0.78
agree,0.906
agreeable,0.906
agreed,0.797
agreeing,0.854
agreement,0.76
agricultural,0.686
agriculture,0.64
agua,0.598
ahead,0.708
ahhh,0.562
ahhhhhhhh,0.552
ahoy,0.5
aid,0.796
aide,0.724
aiding,0.643
aids,0.561
air,0.708
airbag,0.51
airborne,0.542
aircraft,0.646
airfield,0.601
airlift,0.573
airline,0.65
airliner,0.667
airman,0.587
airplane,0.719
airport,0.729
airs,0.583
airship,0.542
airspace,0.562
airspeed,0.583
airstrip,0.55
airway,0.638
akin,0.639
alabaster,0.542
alarm clock,0.542
alas,0.571
alb,0.521
albatross,0.5
albino,0.5
album,0.635
alchemy,0.541
alderman,0.55
ale,0.53
alfalfa,0.546
algebraic,0.531
alias,0.541
alight,0.667
align,0.656
aligned,0.583
alignment,0.643
alike,0.653
alimentation,0.781
alimony,0.612
alive,0.816
allegation,0.578
allegiance,0.917
allegorical,0.517
allegory,0.615
allegro,0.635
alleviate,0.869
alleviation,0.735
alliance,0.696
allied,0.714
allocate,0.673
allocation,0.604
allot,0.622
allotment,0.6
allow,0.698
allowable,0.698
allowance,0.673
allowed,0.73
alloy,0.583
allsmiles,0.786
allure,0.804
alluring,0.837
ally,0.792
almanac,0.688
almighty,0.938
almond,0.698
aloft,0.771
aloha,0.698
alpha,0.708
alphabet,0.562
alphabetical,0.537
alpine,0.594
alreadyyyyy,0.592
altar,0.724
alternate,0.625
alternative,0.628
altimeter,0.615
altitude,0.708
alto,0.656
altogether,0.833
alumnus,0.633
amaretto,0.543
amass,0.552
amaze,0.896
amazed,0.796
amazedness,0.827
amazement,0.75
amazing,0.906
amazingly,0.918
ambassador,0.651
amber,0.635
ambience,0.735
ambient,0.625
ambition,0.51
ambivalent,0.51
ambrosia,0.571
ambulance,0.5
ameliorate,0.77
amen,0.781
amend,0.688
amendment,0.531
amends,0.64
amenity,0.75
amethyst,0.622
amiable,0.847
amicable,0.875
amid,0.51
amino,0.551
amnesty,0.551
amorous,0.844
amortization,0.592
amount,0.562
amour,0.865
amphitheater,0.653
ample,0.744
amplification,0.69
amplify,0.677
amplitude,0.694
amply,0.781
amulet,0.781
amuse,0.812
amused,0.942
amusement,0.929
amusing,0.96
ana,0.541
anagram,0.552
analogous,0.531
analogue,0.57
analogy,0.51
analysis,0.729
analyst,0.604
analytic,0.665
analytical,0.625
analyze,0.667
analyzer,0.625
anatomic,0.562
anatomy,0.562
ancestor,0.592
ancestral,0.64
ancestry,0.708
anchor,0.52
anchorage,0.5
android,0.663
anecdote,0.583
anemone,0.552
anew,0.771
angel,0.906
angelic,0.927
angle,0.541
angling,0.625
angora,0.529
animal,0.521
animate,0.827
animated,0.823
animation,0.888
animosity,0.51
animus,0.698
ankle,0.5
annex,0.594
annexe,0.584
anniversary,0.88
annotate,0.592
annotation,0.604
announce,0.694
announcement,0.729
announcer,0.602
annual,0.552
annuity,0.521
anointed,0.5
anointing,0.653
answer,0.537
answerable,0.708
answering,0.684
antelope,0.542
antenna,0.521
anterior,0.51
anthem,0.78
anthropologist,0.551
antibiotic,0.51
anticipate,0.622
anticipation,0.698
anticipatory,0.653
antidote,0.541
antiquarian,0.5
antique,0.634
antiques,0.54
anytime,0.625
apace,0.536
apache,0.687
apartment,0.719
apartments,0.704
ape,0.548
aperture,0.612
apex,0.57
aphrodisiac,0.75
aplomb,0.5
apologize,0.551
apology,0.571
apostle,0.646
apostolic,0.592
apothecary,0.561
apparel,0.698
apparently,0.531
appeal,0.663
appear,0.735
appearance,0.669
appease,0.633
append,0.573
appetite,0.704
appetizer,0.755
appetizing,0.806
applaud,0.865
applause,0.953
apple,0.811
apple juice,0.765
applejack,0.604
applesauce,0.75
appliance,0.582
appliances,0.594
applicability,0.677
applicant,0.612
application,0.646
apply,0.612
appoint,0.565
appointment,0.688
appointments,0.745
apportion,0.677
apportionment,0.552
appraise,0.677
appreciable,0.873
appreciate,0.885
appreciated,0.91
appreciates,0.765
appreciation,0.917
appreciative,0.857
apprehend,0.521
apprentice,0.615
apprenticeship,0.812
approach,0.612
approaching,0.74
approbate,0.646
approbation,0.792
appropriate,0.833
appropriation,0.51
approval,0.854
approve,0.875
approved,0.833
approvement,0.88
approving,0.917
approximate,0.551
approximately,0.622
approximating,0.583
approximation,0.582
appurtenances,0.573
apricot,0.708
apron,0.582
apt,0.582
aptitude,0.75
aqua,0.656
aquamarine,0.729
aquarium,0.663
aquatic,0.677
aqueduct,0.551
arable,0.51
arbiter,0.561
arbitration,0.587
arbor,0.583
arc,0.552
arcade,0.676
arcane,0.5
arch,0.5
archaeological,0.74
archaeologist,0.552
archaeology,0.596
archangel,0.837
archbishop,0.622
arched,0.582
archer,0.573
archery,0.594
archipelago,0.745
architect,0.776
architectural,0.729
architecture,0.82
arctic,0.615
ardent,0.694
ardor,0.5
arena,0.51
argent,0.594
argument,0.51
arguments,0.541
arise,0.75
aristocracy,0.688
aristocrat,0.583
arm,0.552
armature,0.51
armchair,0.646
aroma,0.823
aromatherapy,0.847
arousal,0.791
arouse,0.74
aroused,0.708
arrange,0.74
arranged,0.698
arrangement,0.625
array,0.521
arrival,0.678
arrive,0.837
art,0.812
artful,0.771
artichoke,0.583
article,0.594
articles,0.552
articulate,0.677
artifact,0.51
artisan,0.781
artist,0.802
artiste,0.844
artistic,0.802
artistry,0.823
artists,0.796
artwork,0.896
asap,0.571
ascend,0.83
ascendancy,0.724
ascendant,0.656
ascending,0.826
ascension,0.765
ascent,0.755
ascertain,0.56
ascertained,0.531
ask,0.531
asleep,0.604
aspiration,0.704
aspire,0.812
aspiring,0.844
assay,0.633
assemble,0.542
assembled,0.663
assembly,0.698
assent,0.615
assert,0.75
asserting,0.694
assertion,0.74
assertive,0.719
assess,0.698
assessment,0.75
assessor,0.551
asset,0.797
assets,0.667
assign,0.622
assignee,0.51
assimilate,0.559
assist,0.833
assistance,0.656
assistant,0.625
associate,0.812
association,0.745
assorted,0.602
assortment,0.694
assuage,0.745
assume,0.698
assumed,0.612
assuming,0.74
assurance,0.675
assure,0.91
assured,0.878
assuredly,0.786
asterisk,0.541
astonish,0.786
astonished,0.51
astonishing,0.844
astonishingly,0.827
astonishment,0.68
astound,0.729
astral,0.604
astrologer,0.594
astrology,0.635
astronaut,0.792
astronomer,0.75
astronomical,0.6
astronomy,0.613
astute,0.776
asymmetric,0.58
athlete,0.781
athletic,0.857
athleticism,0.75
athletics,0.831
atlas,0.531
atmosphere,0.604
atmospheric,0.531
atom,0.51
atonement,0.55
atpeace,0.724
attach,0.52
attached,0.562
attachment,0.57
attain,0.806
attainable,0.76
attainment,0.83
attempt,0.625
attempted,0.594
attend,0.65
attendance,0.812
attendant,0.58
attention,0.74
attentionseekers,0.531
attentive,0.812
attic,0.521
attire,0.742
attitude,0.76
attorney,0.6
attract,0.796
attraction,0.906
attractive,0.906
attractiveness,0.938
attributable,0.704
attribute,0.781
attribution,0.646
auburn,0.51
auction,0.594
auctioneer,0.542
audacious,0.74
audacity,0.76
audible,0.673
audience,0.698
audio,0.709
audition,0.75
auditions,0.74
auditor,0.582
auditorium,0.529
auditory,0.531
augment,0.65
augmentation,0.714
august,0.652
aunt,0.667
auntie,0.643
aura,0.76
aurora,0.817
auspices,0.542
auspicious,0.562
austere,0.5
authentic,0.885
authenticate,0.833
authentication,0.724
authenticity,0.67
author,0.775
authoritative,0.636
authority,0.592
authorization,0.521
authorize,0.772
authorized,0.76
authorship,0.667
auto,0.571
autobiographical,0.909
autobiography,0.735
autocorrect,0.551
autocratic,0.542
autograph,0.735
autographed,0.781
automated,0.578
automatic,0.562
automobile,0.753
automotive,0.656
autonomy,0.781
autopilot,0.594
autumn,0.765
auxiliary,0.622
avail,0.8
availability,0.796
available,0.844
avatar,0.633
avenue,0.677
average,0.684
aversation,0.582
avert,0.51
aviary,0.5
aviation,0.708
aviator,0.615
avid,0.582
avocado,0.677
awake,0.667
awaken,0.729
awakening,0.745
award,0.865
awards,0.958
aware,0.656
awareness,0.684
awesome,0.98
awesomeness,0.917
awestruck,0.615
awning,0.5
ay,0.5
aye,0.562
azure,0.62
babble,0.552
babe,0.86
baby,0.837
babysit,0.719
babysitter,0.656
baccalaureate,0.729
baccarat,0.583
bachelor,0.667
bachelorette,0.735
backbone,0.538
backer,0.646
backgammon,0.58
backpack,0.729
backpacker,0.51
backup,0.52
backwoods,0.541
backyard,0.552
bacon,0.698
badge,0.567
bag,0.5
bagel,0.531
baggage,0.61
baggy,0.521
bagman,0.506
bagpipes,0.541
bake,0.867
bakery,0.802
baking,0.549
balance,0.684
balanced,0.806
balcony,0.562
ball,0.74
ballad,0.792
ballerina,0.802
ballet,0.656
ballgame,0.781
balloon,0.729
ballot,0.521
ballpark,0.724
ballplayer,0.719
ballpoint,0.596
ballroom,0.847
ballsy,0.531
balm,0.625
balmy,0.684
balsam,0.663
balsamic,0.582
bamboo,0.646
banana,0.612
band,0.648
bandanna,0.562
bandstand,0.735
bandwagon,0.625
bandwidth,0.714
bank,0.562
banker,0.586
banking,0.51
banner,0.521
banquet,0.765
banter,0.594
banzai,0.55
baptism,0.844
baptismal,0.646
baptize,0.739
bar,0.5
barbecue,0.792
barber,0.543
barbershop,0.597
barbie doll,0.729
bareback,0.5
bargain,0.653
bargaining,0.622
baritone,0.592
barley,0.614
barmaid,0.521
barman,0.594
barn,0.51
barnyard,0.51
baron,0.52
baroness,0.625
barroom,0.686
bartender,0.573
base,0.635
baseball,0.66
baseball bat,0.667
baseman,0.604
bases,0.569
basic,0.643
basics,0.688
basil,0.534
basilica,0.612
basin,0.552
basis,0.602
bask,0.76
basketball,0.814
bass guitar,0.738
bassoon,0.5
bastion,0.531
batch,0.56
bath,0.725
bathe,0.677
bathhouse,0.602
bathing,0.74
bathrobe,0.531
bathroom,0.561
bathtub,0.625
batter,0.561
bauble,0.698
bay,0.719
bazaar,0.604
bday,0.729
be,0.67
beach,0.885
beaches,0.865
beacon,0.58
bead,0.592
beading,0.542
beads,0.673
beagle,0.649
beam,0.584
beaming,0.892
bean,0.667
beanie,0.5
bearable,0.542
bearer,0.571
bearing,0.571
bearish,0.521
beau,0.612
beautification,0.885
beautiful,0.875
beautify,0.898
beauty,0.842
beck,0.58
beckon,0.663
become,0.641
bed,0.604
bedding,0.704
bedpan,0.51
bedrock,0.561
bedroom,0.744
bedside,0.604
bedspread,0.551
bedtime,0.673
bee,0.52
beef,0.582
beefsteak,0.594
beehive,0.541
beep,0.595
beer,0.592
bees,0.562
beeswax,0.583
befall,0.52
befitting,0.708
befriend,0.93
begin,0.677
beginning,0.816
beginnings,0.837
begun,0.677
behappy,0.875
behave,0.677
behavior,0.594
behavioral,0.612
behemoth,0.583
behest,0.602
behold,0.61
beholder,0.714
belay,0.5
belief,0.896
believable,0.866
believe,0.781
believed,0.5
believer,0.725
believing,0.87
bell,0.552
bellboy,0.542
bellhop,0.5
bellman,0.54
belly,0.51
bellybutton,0.531
belong,0.643
belongings,0.592
beloved,0.969
belt,0.541
beluga,0.51
bench,0.571
bend,0.571
benedictory,0.677
benefactor,0.833
beneficial,0.82
beneficiary,0.776
benefit,0.906
benevolence,0.786
benevolent,0.786
