lyric,genre,emotion_4Q,sentiment,sentiment_score,emotion_NRC
yeah right usher baby okay yeah man right turn light go baby ooh girl look not know good feel call girl go baby yeah loving everything ooh girl look bet not know checking putting heel swear body perfect baby work baby yeah woo love way pokin girl give something feel please believe gon twerking end night baby waiting day wrap hand whoa around waist kiss face would not trade feelin nothing not even minute sit long take get alone soon come walking way gon hear say go baby uh go go go ooh girl look not know good feel call girl not know whoa go baby uh go go go go loving everything oh ooh girl oh look get chill whenever see face place girl feel like movie baby like oohwee baby ah like waterfall hair fall waist get taste girl no need creep baby not ashamed calling name girl waiting day wrap hand oh around waist kiss face would not trade feeling nothing not even minute yeah sit long take get alone soon come walking way gon hear say go baby baby yeah ooh girl look ohah not know good feel call girl not know oh go baby baby yeah ohoh loving everything ooh ooh girl look girl feel like first time every time get together baby loving feel better everything everything anything anything put heart put heart not need ring promise time away not change love go baby go oh whoa ooh girl look not know good feel call girl go baby go go go loving everything ooh girl look oh girl go baby ooh girl look know babe not know good feel call girl oh yeah go baby go baby go baby hey yeah loving everything ooh girl look,Rock,relaxed,positive,0.6667,joy|trust
ahhhhhhhh om mind yea verse thinkin girl miss ou ou baby ever since day went away yea not live without chorus always mind mind always mind always mind girl mind verse give not nothing never change love remains not wait see repeat chorus verse not see today hope see tomorrow girl got let know feel love real not want fool belongs no one else repeat chorus,Pop,relaxed,positive,0.6667,joy|anticipation
told ya told ya told ya baby baby uh uh told ya baby uh oh uh uh told ya baby uh uh told ya baby uh oh uh uh told ya baby uh oh uh uh told ya baby uh oh uh uh told ya got club posted back feeling good looking bad rocking skirt rocking club got middle finger not really give fuck rocking diamond rocking chain make sure get picture rocking fame got thing missing black guitar rockstar rockstar hey baby rockstar rockstar hey baby big city big city bright light bright light sleep day day long night baby rockstar rockstar hey baby rockstar rockstar hey baby big city big city bright light bright light sleep day day long night long night baby oh baby oh baby oh baby oh baby oh baby oh baby oh baby oh baby hey hey hey sixinch walker big shit talker never play victim would rather stalker baby take disobey law make sure frisk good check panty bra wildn crazy house white jacket not come sign got thing missing black guitar rockstar rockstar hey baby rockstar rockstar hey baby big city big city bright light bright light sleep day day long night baby rockstar rockstar hey baby rockstar rockstar hey baby big city big city bright light bright light sleep day day long night long night baby oh baby oh baby oh baby oh baby oh baby oh baby oh baby oh baby hey hey hey hey rocking tonight not wait til tomorrow live whole life night not got time borrow rocking tonight wait til tomorrow live whole life night rockstar rockstar hey baby rockstar rockstar hey baby big city big city bright light bright light sleep day day long night baby rockstar rockstar hey baby rockstar rockstar hey baby big city big city bright light bright light sleep day day long night long night baby oh baby oh baby oh baby oh baby oh baby oh baby oh baby oh baby hey hey hey,,relaxed,negative,0.6154,anger|anticipation
j holiday oooh oooh ayayay ay ayayay ay ayayay ay put bed bed bed put bed bed bed girl change victoria secret thing like alright okay tonight way perfume spray put love air put right next fixing raise temp room first rub back like right uh huh right uh touch like care stop let repay week workin nine five stayin cute like oh oh oh love love love love everytime everytime touchin touchin want want want want see see mornin mornin want put finger hair wrap leg love till eye roll back tryna put bed bed bed imma put bed bed bed imma rock ya body turn love war soldier touchin like first time imma put bed bed bed imma put bed bed bed starin sleep irreplaceable beauty put face neck breathe ooh breathe take sens wake time finish round two round two matter fact closer three like long sleep shawty kiss turn sweetest dream like give feel tell angel wonderful thanks letting bless ya come fly right drift back heaven oh oh oh oh love love love love everytime everytime touchin touchin want want want want see see mornin mornin want put finger hair wrap leg love till eye roll back tryna put bed bed bed imma put bed bed bed imma rock ya body turn love war soldier touchin like first time imma put bed bed bed imma put bed bed bed watch sunlight peak horizon oohooh oohooh oohooh oohooh sun not thing shinin oohooh oohooh oohooh oohooh imma send world love tell everybody ay everybody ay ayayay ay ayayay ay ayayay ay want put finger hair wrap leg love till eye roll back tryna put bed bed bed imma put bed bed bed imma rock ya body turn love war soldier touchin like first time imma put bed bed bed imma put bed bed bed watch sunlight peak horizon oohooh oohooh oohooh oohooh sun not thing shinin oohooh oohooh oohooh oohooh imma send world love tell everybody ay everybody ay ayayay ay ayayay ay ayayay ay,,relaxed,positive,0.9333,anticipation|joy
yeah yeah yeah ragga ragga not ha fi dread rasta not ha fi dread not dreadlock thing divine conception heart well repeat oh life livity lived father history uphold anciency prophecy trust power trinity yeah got believe majesty oh yes lineage divinity first step serenity knowing one self true royalty yeah not ha fi dread rasta yeah not ha fi dread not dreadlock thing divine conception heart well repeat not afraid jah ever burning fire trust jah fire never get burn fire reign heat air water no water put jah fire jah fire going lift rasta higher not ha fi dread rasta yeah not ha fi dread not dreadlock thing divine conception heart well repeat,,angry,positive,0.75,trust|fear
clap hand alright turn turn turn clap hand alright clap hand alright ahh ha clap hand alright oh tomorrow judgment day sing mommy standing front line mm lord ask life say spent clap hand alright alright clap hand alright wake world war world war world war see destruction poverty feel like want go home okay okay comin clap hand alright alright clap hand alright clap hand alright love love love love would take eternity break u chain amistad could not hold u love love love love would take eternity break u chain amistad could not hold u clap hand alright uhhuh clap hand alright clap hand alright lose fame fortune really not mind homeless street street oh lord sleepin grand central station ooh okay okay sleepin clap hand alright clap hand alright year pas u year year year stay young others eye others eye no matter old get oh okay long got babe clap hand alright clap hand alright love love love love love love baby would take eternity break u chain amistad could not hold u love love love love love love would take eternity break u chain amistad could not hold u die very day very very day not cry not cry earth not meant stay clap hand alright no matter people say really not matter clap hand alright waiting judgement day love love love love would take eternity break u chain amistad could not hold u not hold u love love love love yes would take eternity break u chain amistad could not hold u love love love love would take eternity break u break u baby chain amistad could not hold u clap hand alright clap hand clap hand clap hand alright clap hand alright clap hand alright clap hand alright clap hand alright clap hand clap hand alright said record not yet,Jazz,happy,negative,0.5294,anticipation|sadness
seri seri seri serani everywhere go find hypocrite badmind every every every every everywhere go envy backstabbers parasite somebody tell want say not study people dem people study bere evil good evil see say dem feeble fighting not pause yeah say not study people dem people study bere evil good evil see say dem feeble fightin know everywhere evil atmosphere thing catching righteous please beware dem watching chitchatting clear envious flare power help father serani never fear another live never give chose ripper somebody tell want say not study people dem people study bere evil good evil see say dem feeble fighting not pause yeah say not study people dem people study bere evil good evil see say dem feeble fightin fassy dem plan dem go lose battle almighty mi don conscience free never no wrong music make write sing song remember said see face know genuine one fake judge way embrace disgrace somebody tell want say not study people dem people study bere evil good evil see say dem feeble fighting not pause yeah say not study people dem people study bere evil good evil see say dem feeble fightin everywhere go find hypocrite badmind every every every every everywhere go envy backstabbers parasite somebody tell want say not study people dem people study bere evil good evil see say dem feeble fighting not pause yeah say not study people dem people study bere evil good evil see say dem feeble fightin,,angry,negative,0.5652,trust|anger
habit alone separate moan feeding bone anything grown command post nobody show morning rest evening work debt not spent till rest me left adore must call evil night speaking word grace spellwork delight feel desire burn like fire feel desire burn like fire work alone saving soul yesterday hurt tomorrow worse send sign body aligned ready waste limb face pore wide open bleed potion spellwork lie must call evil night speaking word grace spellwork delight feel desire burn like fire feel desire burn like fire must call evil night speaking word grace spellwork delight feel desire burn like fire feel desire burn like fire,Electronic,angry,negative,0.5833,sadness|fear
yeah shoulda known would way serf right fall love brought love took back fact love game play one thing got say gave heart gave world spent lonely night right cold every time touch body start quiver want love night long not let go love need keep wanting push love aside not let go love need keep wanting push love aside not help think made feel every time think two u not realize not realize not seem buy not seem buy gone gone gone not let go love need keep wanting push love aside not let go love need keep wanting push love aside not let go love fit like glove hold tight feeling ohso right not forget time mine mine love true come back one love every time touch body start quiver want love night long shoulda known would way serf right fall love not help think left feeling every time think two u not realize not realize not seem buy not seem buy gone gone gone not let go love need keep wanting push love aside not let go love need keep wanting push love aside not let go love need keep wanting push love aside not let go love need keep wanting push love aside not let go let go not let go not let go let go not let go,,happy,negative,0.7273,sadness|anticipation
well like menace society hahaha biggin fi di ghetto lady girl bruk gwan crazy big tip sing along give gyal dem wickedest slam kind gyal weh know fi love man man waan fi get medal haffi get slam real ghetto gyal give gyal dem wickedest slam kind gyal weh know fi love man man waan fi get medal haffi get slam real ghetto gyal boy man never get pedal wheel never banana peeled man haffi know good loving feel haffi find gyal weh live maxfield man love girlfriend heart nah get slam weh want whole heap thing gwan hide go look junglist girl pon side ghetto gyal wickedest slam kind gyal weh know fi love man man waan fi get medal haffi get slam real ghetto gyal give gyal dem wickedest slam kind gyal weh know fi love man man waan fi get medal haffi get slam real ghetto gyal nah go wife no girl bow gyal inna bed nuh know nah go wrinkle screw done mi gyal seaview nah go run go get no uptown girl true brown pretty like pearl true know mama man run world coulda find girl named earl man ghetto girl unuh fi proud although mighta look kind loud come run road ghetto girl dem move crowd give girl dem wickedest slam kind gyal weh know fi love man man waan fi get medal haffi get slam real ghetto gyal give gyal dem wickedest slam kind gyal weh know fi love man man waan fi get medal haffi get slam real ghetto gyal man never get pedal wheel never banana peeled waan fi know good loving feel haffi find gyal weh live maxfield man love girlfriend heart nah get slam weh want whole heap thing gwan hide go look junglist girl pon side ghetto gyal dem wickedest slam kind gyal weh know fi love man man waan fi get medal haffi get slam real ghetto gyal,Pop,relaxed,positive,0.7333,joy|trust
